section                   , subject , node      , basic_fairness           , basic_goodness           , weighted_fairness       , weighted_goodness       , delta_fairness(weighted-basic), delta_goodness(weighted-basic)
basic_vs_weighted         , p_short , a         , 0.731779                 , 0.324236                 , 0.413010                , 0.103267                , -0.318769                     , -0.220969
basic_vs_weighted         , p_short , b         , 0.768393                 , 0.061643                 , 0.429109                , 0.014047                , -0.339284                     , -0.047596
basic_vs_weighted         , p_short , c         , 0.745659                 , 0.136995                 , 0.423136                , 0.043974                , -0.322523                     , -0.093021
basic_vs_weighted         , p_short , d         , 0.637027                 , 0.604409                 , 0.313195                , 0.173211                , -0.323832                     , -0.431198
basic_vs_weighted         , p_short , e         , 0.772741                 , 0.150772                 , 0.438841                , 0.046230                , -0.333900                     , -0.104542
basic_vs_weighted         , p_short , f         , 0.465490                 , -0.645141                , 0.312580                , -0.208948               , -0.152910                     , 0.436193
basic_vs_weighted         , p_short , g         , 0.534781                 , -0.424487                , 0.349564                , -0.156156               , -0.185217                     , 0.268331
basic_vs_weighted         , p_short , p_short   , 0.693993                 , 0.221458                 , 0.317046                , 0.060141                , -0.376947                     , -0.161316
basic_vs_weighted         , p_long  , a         , 0.731779                 , 0.324236                 , 0.414275                , 0.121637                , -0.317504                     , -0.202598
basic_vs_weighted         , p_long  , b         , 0.768393                 , 0.061643                 , 0.430731                , 0.024887                , -0.337662                     , -0.036756
basic_vs_weighted         , p_long  , c         , 0.745659                 , 0.136995                 , 0.423518                , 0.050190                , -0.322141                     , -0.086805
basic_vs_weighted         , p_long  , d         , 0.637027                 , 0.604409                 , 0.347732                , 0.198496                , -0.289295                     , -0.405913
basic_vs_weighted         , p_long  , e         , 0.772741                 , 0.150772                 , 0.451041                , 0.059362                , -0.321699                     , -0.091410
basic_vs_weighted         , p_long  , f         , 0.465490                 , -0.645141                , 0.275108                , -0.194511               , -0.190382                     , 0.450630
basic_vs_weighted         , p_long  , g         , 0.534781                 , -0.424487                , 0.291041                , -0.126477               , -0.243740                     , 0.298011
basic_vs_weighted         , p_long  , p_long    , 0.693993                 , 0.221458                 , 0.390551                , 0.075432                , -0.303441                     , -0.146026

section                   , subject , node_alias, p_short_weighted_fairness, p_short_weighted_goodness, p_long_weighted_fairness, p_long_weighted_goodness, delta_fairness(p_short-p_long), delta_goodness(p_short-p_long)
p_short_vs_p_long_weighted, weighted, a         , 0.413010                 , 0.103267                 , 0.414275                , 0.121637                , -0.001265                     , -0.018370
p_short_vs_p_long_weighted, weighted, b         , 0.429109                 , 0.014047                 , 0.430731                , 0.024887                , -0.001622                     , -0.010840
p_short_vs_p_long_weighted, weighted, c         , 0.423136                 , 0.043974                 , 0.423518                , 0.050190                , -0.000383                     , -0.006216
p_short_vs_p_long_weighted, weighted, d         , 0.313195                 , 0.173211                 , 0.347732                , 0.198496                , -0.034537                     , -0.025285
p_short_vs_p_long_weighted, weighted, e         , 0.438841                 , 0.046230                 , 0.451041                , 0.059362                , -0.012201                     , -0.013132
p_short_vs_p_long_weighted, weighted, f         , 0.312580                 , -0.208948                , 0.275108                , -0.194511               , 0.037472                      , -0.014437
p_short_vs_p_long_weighted, weighted, g         , 0.349564                 , -0.156156                , 0.291041                , -0.126477               , 0.058523                      , -0.029680
p_short_vs_p_long_weighted, weighted, probe_node, 0.317046                 , 0.060141                 , 0.390551                , 0.075432                , -0.073506                     , -0.015291
